Category|LocalAuthority|Time|Season|Light|Tip1|Tip2|Tip3|Tip4
Foot|Banyule|Night|Summer|Red|Banyule is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Brimbank|Night|Summer|Green|Brimbank is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Darebin|Night|Summer|Amber|Darebin is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Hobsons Bay|Night|Summer|Green|Hobsons Bay is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Hume|Night|Summer|Amber|Hume is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Maribyrnong|Night|Summer|Red|Maribyrnong is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Melbourne|Night|Summer|Amber|Melbourne is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Melton|Night|Summer|Amber|Melton is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Moonee Valley|Night|Summer|Amber|Moonee Valley is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Moreland|Night|Summer|Green|Moreland is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Nillumbik|Night|Summer|Amber|Nillumbik is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Whittlesea|Night|Summer|Amber|Whittlesea is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Wyndham|Night|Summer|Green|Wyndham is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Yarra|Night|Summer|Amber|Yarra is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Alpine|Night|Summer|Amber|Alpine is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Bass Coast|Night|Summer|Green|Bass Coast is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Baw Baw|Night|Summer|Green|Baw Baw is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Benalla|Night|Summer|Green|Benalla is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Boroondara|Night|Summer|Red|Boroondara is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|East Gippsland|Night|Summer|Green|East Gippsland is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Greater Shepparton|Night|Summer|Amber|Greater Shepparton is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Indigo|Night|Summer|Green|Indigo is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Knox|Night|Summer|Green|Knox is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Latrobe|Night|Summer|Amber|Latrobe is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Manningham|Night|Summer|Green|Manningham is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
Foot|Mansfield|Night|Summer|Amber|Mansfield is a safe and happy place|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Keen safe opt there ok
Foot|Maroondah|Night|Summer|Amber|Maroondah is a safe and happy place|Keen safe opt there ok|Life is a box of chocolates|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.
Foot|Mitchell|Night|Summer|Green|Mitchell is a safe and happy place|It is a very nice day today - 45% of people agree.  This takes us up to 100 characters which maxxed.|Life is a box of chocolates|Keen safe opt there ok
