Category|LocalAuthority|Time|Season|Light|Tip1|Tip2|Tip3|Tip4
Foot|Banyule|Afternoon|Autumn|Amber|921 assaults in Banyule in 2014 (7.3 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Brimbank|Afternoon|Autumn|Amber|1,771 assaults in Brimbank in 2014 (8.9 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Darebin|Afternoon|Autumn|Amber|1,183 assaults in Darebin in 2014 (7.8 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Hobsons Bay|Afternoon|Autumn|Amber|769 assaults in Hobsons Bay in 2014 (8.5 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Hume|Afternoon|Autumn|Red|2,045 assaults in Hume in 2014 (10.5 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Maribyrnong|Afternoon|Autumn|Amber|693 assaults in Maribyrnong in 2014 (8.2 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Melbourne|Afternoon|Autumn|Red|3,032 assaults in Melbourne in 2014 (23.4 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Melton|Afternoon|Autumn|Amber|1,121 assaults in Melton in 2014 (8.4 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Moonee Valley|Afternoon|Autumn|Amber|797 assaults in Moonee Valley in 2014 (6.7 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Moreland|Afternoon|Autumn|Amber|1,241 assaults in Moreland in 2014 (7.4 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Nillumbik|Afternoon|Autumn|Green|288 assaults in Nillumbik in 2014 (4.6 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Whittlesea|Afternoon|Autumn|Amber|1,478 assaults in Whittlesea in 2014 (7.5 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Wyndham|Afternoon|Autumn|Green|1,267 assaults in Wyndham in 2014 (6.0 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Yarra|Afternoon|Autumn|Red|995 assaults in Yarra in 2014 (11.2 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Alpine|Afternoon|Autumn|Amber|78 assaults in Alpine in 2014 (6.5 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Bass Coast|Afternoon|Autumn|Red|395 assaults in Bass Coast in 2014 (12.2 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
Foot|Baw Baw|Afternoon|Autumn|Red|492 assaults in Baw Baw in 2014 (10.4 for every 1,000 residents)|Be careful with your phone when walking around - don't be an easy target|Keep in mind who you would contact in time of emergency|Always know where the near by transport hubs are
