Postcode|LGA_Code|LGA2|LGA
3000|24600|Melbourne (C)|Melbourne
3002|24600|Melbourne (C)|Melbourne
3003|24600|Melbourne (C)|Melbourne
3004|25900|Port Phillip (C)|Port Phillip
3005|24600|Melbourne (C)|Melbourne
3006|24600|Melbourne (C)|Melbourne
3008|24600|Melbourne (C)|Melbourne
3010|24600|Melbourne (C)|Melbourne
3011|24330|Maribyrnong (C)|Maribyrnong
3012|24330|Maribyrnong (C)|Maribyrnong
3013|24330|Maribyrnong (C)|Maribyrnong
3015|23110|Hobsons Bay (C)|Hobsons Bay
3016|23110|Hobsons Bay (C)|Hobsons Bay
3018|23110|Hobsons Bay (C)|Hobsons Bay
3019|24330|Maribyrnong (C)|Maribyrnong
3020|21180|Brimbank (C)|Brimbank
3021|21180|Brimbank (C)|Brimbank
3022|21180|Brimbank (C)|Brimbank
3023|24650|Melton (S)|Melton
3023|21180|Brimbank (C)|Brimbank
3024|27260|Wyndham (C)|Wyndham
3025|23110|Hobsons Bay (C)|Hobsons Bay
3027|27260|Wyndham (C)|Wyndham
3028|23110|Hobsons Bay (C)|Hobsons Bay
3029|27260|Wyndham (C)|Wyndham
3030|27260|Wyndham (C)|Wyndham
3031|25060|Moonee Valley (C)|Moonee Valley
3031|24600|Melbourne (C)|Melbourne
3032|25060|Moonee Valley (C)|Moonee Valley
3032|24330|Maribyrnong (C)|Maribyrnong
3033|25060|Moonee Valley (C)|Moonee Valley
3034|25060|Moonee Valley (C)|Moonee Valley
3036|21180|Brimbank (C)|Brimbank
3037|24650|Melton (S)|Melton
3037|21180|Brimbank (C)|Brimbank
3038|21180|Brimbank (C)|Brimbank
3039|25060|Moonee Valley (C)|Moonee Valley
3040|25060|Moonee Valley (C)|Moonee Valley
3041|25060|Moonee Valley (C)|Moonee Valley
3042|25060|Moonee Valley (C)|Moonee Valley
3042|21180|Brimbank (C)|Brimbank
3043|23270|Hume (C)|Hume
3044|25250|Moreland (C)|Moreland
3045|23270|Hume (C)|Hume
3046|25250|Moreland (C)|Moreland
3047|23270|Hume (C)|Hume
3048|23270|Hume (C)|Hume
3049|23270|Hume (C)|Hume
3051|24600|Melbourne (C)|Melbourne
3052|24600|Melbourne (C)|Melbourne
3053|24600|Melbourne (C)|Melbourne
3054|27350|Yarra (C)|Yarra
3055|25250|Moreland (C)|Moreland
3056|25250|Moreland (C)|Moreland
3057|25250|Moreland (C)|Moreland
3058|25250|Moreland (C)|Moreland
3059|23270|Hume (C)|Hume
3060|25250|Moreland (C)|Moreland
3061|23270|Hume (C)|Hume
3063|23270|Hume (C)|Hume
3064|23270|Hume (C)|Hume
3065|27350|Yarra (C)|Yarra
3066|27350|Yarra (C)|Yarra
3067|27350|Yarra (C)|Yarra
3068|27350|Yarra (C)|Yarra
3070|21890|Darebin (C)|Darebin
3071|21890|Darebin (C)|Darebin
3072|21890|Darebin (C)|Darebin
3073|21890|Darebin (C)|Darebin
3074|27070|Whittlesea (C)|Whittlesea
3075|27070|Whittlesea (C)|Whittlesea
3076|27070|Whittlesea (C)|Whittlesea
3078|21890|Darebin (C)|Darebin
3078|27350|Yarra (C)|Yarra
3079|20660|Banyule (C)|Banyule
3081|20660|Banyule (C)|Banyule
3082|27070|Whittlesea (C)|Whittlesea
3083|27070|Whittlesea (C)|Whittlesea
3083|20660|Banyule (C)|Banyule
3083|21890|Darebin (C)|Darebin
3084|20660|Banyule (C)|Banyule
3085|20660|Banyule (C)|Banyule
3087|20660|Banyule (C)|Banyule
3088|20660|Banyule (C)|Banyule
3088|25710|Nillumbik (S)|Nillumbik
3089|25710|Nillumbik (S)|Nillumbik
3090|25710|Nillumbik (S)|Nillumbik
3091|25710|Nillumbik (S)|Nillumbik
